angle;angle;angle;angle;angle;angle;angle;angle;angle;angle;NULL;speed;speed;speed;speed;speed;speed;speed;speed;speed;speed
0,17;-0,06;-0,36;-0,03;-0,04;0,03;-0,33;-0,22;-0,22;-0,05;NULL;0,48;1,75;1,32;1,59;-0,92;-1,67;-1,99;1,73;-0,87;0,76
0,18;0,12;-0,37;-0,24;-0,41;0,03;0,33;0,25;0,35;-0,18;NULL;-0,23;-0,91;0,03;-1,92;1,69;0,46;1,04;0,64;-1,6;-0,41
-0,44;0,43;0,22;0,16;0,31;0,21;-0,18;-0,34;0,00999999;0,14;NULL;1,47;-1,32;-0,2;1,94;-0,13;0,4;-0,02;0,35;-0,55;-1
0,05;0,1;0,37;-0,39;-0,34;-0,21;0,19;-2,38419E-09;-0,04;-0,06;NULL;-1,51;-0,74;-1,79;-0,94;-0,74;0,86;0,25;1,55;-1,89;0,54
0,12;0,06;0,03;-0,00999999;0,25;0,19;0,21;0,18;-0,19;-0,44;NULL;0,13;0,42;-0,49;-1,96;-0,87;-1,21;-1,6;-0,95;0,86;-1,46
0,3;0,35;-0,33;0,25;0,00999999;0,42;-0,23;-0,27;-0,23;-0,25;NULL;-1,46;0,35;1,1;1,09;0,21;1,63;-0,00999999;-1,83;1,19;0,55
0,43;-0,31;0,32;0,12;0,17;-0,14;-0,04;0,06;0,08;0,38;NULL;0,76;-0,0599999;-1,69;-1,83;1,56;0,26;0,79;0,54;0,41;0,42
0,28;-2,38419E-09;0,21;-0,05;-0,41;-0,00999999;-0,09;0,4;0,3;0,15;NULL;0,91;-1,92;-1,1;-1,31;-0,36;0,76;-0,86;0,27;1,34;-0,27
0,16;0,41;-0,19;-0,44;-0,16;-0,24;-0,41;-0,14;0,26;0,15;NULL;1,34;1,76;1,46;0,39;0,67;1,7;0,6;-1,08;1,74;-0,02
-0,33;0,38;0,28;-0,34;-0,17;0,27;-0,21;-0,05;0,28;-0,42;NULL;-1,86;-0,29;0,0899999;-0,44;1,8;-1,32;1,25;0,86;1,58;-0,66
0,13;0,37;-0,4;0,02;-0,02;0,09;-0,09;0,37;0,04;-0,35;NULL;-0,93;0,05;-1,75;1,37;-0,22;0,36;-0,18;-1,08;-0,44;0,27
0,03;-2,38419E-09;-0,14;0,4;0,24;0,35;0,00999999;-0,00999999;-2,38419E-09;0,39;NULL;-1,03;-1,52;-0,88;0,0599999;0,12;0,67;1,94;-1,41;-1,58;-0,9
0,26;-0,31;-2,38419E-09;-0,21;-0,11;-0,35;-0,31;-0,17;-0,43;0,3;NULL;-1,62;1,52;0,76;-0,57;-0,15;-1,82;-0,33;-1,28;0,16;1,83
-0,24;-0,44;0,1;-0,1;0,23;0,26;0,06;0,32;-0,14;-0,24;NULL;-0,13;-0,18;-1,05;0,77;0,86;1,31;1,64;-1,28;0,23;-0,28
0,4;-0,04;0,26;-0,24;-0,04;-0,33;0,13;0,23;0,33;0,41;NULL;1,05;0,4;-0,05;-0,52;-0,99;0,64;-0,04;1,03;1,55;-1,03
0,2;-0,3;-0,07;-0,27;0,04;-0,36;0,29;-0,28;0,3;0,09;NULL;-0,75;-1,36;0,00999999;-1,71;-0,89;1,48;-1,73;-0,67;-1,2;0,68
-0,34;-0,38;-0,00999999;0,23;-0,11;0,24;0,25;0,23;0,36;0,32;NULL;1,02;-0,69;-1,3;0,39;-0,11;0,32;0,88;1,25;1,12;-0,49
0,16;0,16;-0,21;0,28;0,05;-0,2;0,37;-2,38419E-09;-0,26;0,41;NULL;0,86;-0,83;-0,24;-1,27;0,44;-1,6;1,64;0,95;0,98;-1,24
-0,08;-0,37;0,36;-0,31;-0,4;-0,3;-0,04;0,27;-0,28;0,05;NULL;1,26;1,23;0,23;-0,54;-0,09;1,35;-1,18;-0,56;1,43;-0,68
0,15;0,32;-0,17;-0,24;0,34;0,23;-0,4;0,43;-0,02;0,41;NULL;0,95;-1,84;-1,62;1,32;1,6;-0,09;0,62;-1,28;1,69;0,0699999
-0,13;-0,14;0,25;-0,35;0,38;-0,02;-0,29;0,13;0,37;0,34;NULL;1,1;-0,61;1,23;0,78;0,00999999;1,18;1,06;0,04;-0,51;-0,14
-0,06;0,4;0,06;0,07;-0,00999999;0,38;0,29;-0,24;-0,41;0,39;NULL;0,95;1,69;-1,96;0,89;-0,73;-1,96;0,14;1,89;-1,74;-1,23
-0,14;0,39;-0,05;0,28;-0,02;-0,02;0,08;0,28;0,26;-0,33;NULL;-0,75;1,35;1,01;1,57;-1,04;0,65;-1,04;0,8;0,33;0,76
0,15;-0,23;-0,4;0,37;-0,03;0,24;0,32;-0,24;0,29;-0,28;NULL;-1,84;0,82;1,91;0,44;1,98;0,23;1,64;1,19;-1,69;-0,23
-0,12;0,37;-0,22;-0,36;-0,12;-0,2;-0,11;-0,08;-0,37;0,24;NULL;1,52;-0,55;0,5;-0,9;1;0,03;1,49;-0,33;-1,68;-0,41
-0,27;-2,38419E-09;-0,17;0,34;-0,06;-0,1;0,13;0,14;0,32;-0,33;NULL;-0,96;0,74;-1,54;1,74;1,36;0,81;1,64;1,3;1,66;1,93
0,19;-0,03;0,43;-0,03;-0,03;0,17;-0,03;-0,32;-0,31;-0,12;NULL;-1,3;0,05;-1,7;-1,31;-0,94;-0,4;-1,68;0,72;0,98;0,68
-0,23;-2,38419E-09;-0,38;-0,06;-0,12;0,29;-0,23;-0,3;0,39;0,32;NULL;0,5;-1,94;0,53;-1,71;0,43;-0,85;-0,89;-1,83;0,5;1,46
0,15;0,41;-0,42;-0,09;-0,2;-0,33;0,2;0,12;0,19;0,39;NULL;0,2;1,34;-0,75;-0,56;1,29;0,00999999;0,27;1,98;1,15;-0,24
0,37;0,3;-0,36;-0,37;0,42;-0,33;0,33;0,15;-0,24;0,29;NULL;1,38;1,07;-1,7;0,73;1,29;0,72;-0,09;-1,99;-1,12;1,94
0,25;-0,39;0,09;-0,38;-0,16;-0,09;0,18;0,03;0,05;0,25;NULL;-1,5;1,74;0,11;-1,09;0,85;-1,24;-1,65;-1,51;-1,89;1,72
-0,04;-0,28;0,34;0,03;0,27;-0,14;0,4;0,28;-0,15;0,24;NULL;1,41;0,37;-0,62;-1,19;0,8;0,13;1,5;0,17;0,43;-0,69
-0,39;-0,38;0,12;-0,05;0,36;0,03;0,04;-0,34;-0,44;0,05;NULL;-0,28;0,34;0,37;1,73;-1,21;-0,22;-1,17;1,79;0,62;1,58
-0,33;0,39;0,33;0,08;0,12;0,32;-0,19;-0,42;-0,21;-0,09;NULL;-0,82;-0,29;1,88;1,96;1,46;-1,52;-0,41;-1,52;-1,59;1,91
0,24;0,26;-0,44;-0,1;-0,19;-0,42;0,11;-0,28;-0,29;-0,37;NULL;-1,02;1,55;-1,86;1,85;1,63;-0,48;1,78;0,91;1,33;-1,95
0,42;0,00999999;0,05;0,13;0,31;-0,02;-0,37;0,13;0,1;-0,21;NULL;0,42;-1,11;0,71;-0,48;1,66;1,99;-0,61;1,99;-1,89;1,26
0,22;-0,11;0,16;0,31;-0,16;-0,09;-0,29;-0,12;-0,23;0,07;NULL;0,88;-1,21;-0,77;1,09;-0,0700001;-0,58;1,36;0,46;1,07;0,81
-0,17;-0,4;0,03;0,2;-0,33;-0,43;0,31;-0,37;0,22;0,1;NULL;1,89;1,73;-1,17;0,38;-0,19;-1,8;0,54;-1,81;0,0899999;-1,58
0,38;-0,05;0,14;-0,32;-0,23;0,18;0,37;-0,43;0,17;0,39;NULL;-0,49;1,34;-1,7;-1,05;-1,96;0,98;0,45;0,41;-0,87;0,33
-0,37;-0,35;-0,24;0,3;0,37;0,36;0,06;-2,38419E-09;0,37;0,37;NULL;-1,18;-1,66;0,2;-0,12;-0,83;-1,44;0,31;-0,28;-0,2;1,64
-0,19;-0,24;0,07;0,14;-0,43;-0,25;-0,19;0,18;-0,07;0,08;NULL;-1,58;-0,67;1,59;-1,57;-0,74;1,42;0,34;-0,8;1,87;-1,34
-0,2;0,05;-0,00999999;0,13;-0,02;0,11;0,12;-2,38419E-09;0,06;-0,14;NULL;1,51;-0,96;1,63;-1,82;0,66;0,93;-0,6;1,85;-0,22;-0,29
0,14;0,35;0,31;-0,36;-0,39;-0,23;0,13;-0,02;0,35;0,42;NULL;1,22;-0,1;0,15;-0,26;1,94;1,66;-1,3;-1,18;-0,16;0,63
-0,07;0,11;-0,08;0,11;0,34;0,34;-0,02;-0,05;0,15;0,43;NULL;1,58;1,38;-0,05;0,46;-0,88;0,98;0,76;-0,62;0,54;1,8
-0,15;0,08;-0,02;0,14;-0,32;-2,38419E-09;0,16;-0,2;-0,00999999;-0,32;NULL;-0,78;-0,02;0,27;0,0699999;-1,91;-0,05;1,87;-0,61;-1,3;-1,88
-0,3;-0,28;-0,13;0,24;0,06;0,32;-0,23;-0,11;0,08;-0,19;NULL;-1,78;-1,22;0,68;0,72;1,77;0,66;-1,41;1,4;1,98;1,73
0,24;0,29;-0,38;-0,33;-0,38;0,07;-0,4;0,34;-0,34;0,25;NULL;-1,8;0,38;-0,97;0,16;-1,22;-1,25;-1,38;1,85;1,23;0,82
0,2;-0,22;-0,39;0,4;-0,05;-0,28;-0,31;-0,04;-0,34;-0,05;NULL;-1,68;-1,19;-1,32;1,66;-1,87;-1,06;-0,87;-1,2;0,82;0,41
0,16;0,24;-0,3;-0,04;-0,41;-0,18;0,17;-0,31;0,25;0,02;NULL;-1,34;-1,73;-0,88;-0,63;1,05;0,54;-1,09;0,15;1,17;0,86
-0,25;-0,14;-0,05;0,02;-0,11;0,08;0,03;-0,04;0,33;-0,4;NULL;0,99;-0,72;-0,47;0,0899999;0,94;1,99;-0,77;0,6;1,39;1,36
0,06;-0,4;-0,44;0,14;-0,16;-0,15;-0,05;-0,00999999;0,24;-0,39;NULL;1,18;0,78;-1,19;-0,51;1,52;-0,93;1,02;1,57;-0,84;-1,59
-0,41;-0,1;-0,23;0,34;-0,27;0,08;-0,37;0,22;0,07;-0,24;NULL;-0,4;1,92;-1,52;-1,7;1,04;1;1,36;-0,63;-0,78;1,4
-0,09;-0,32;0,08;-0,36;-0,41;0,16;-0,12;0,14;0,11;0,19;NULL;1,86;1;-0,73;-1,65;0,49;-1,67;-1,01;-1,31;-1,9;-0,0599999
-0,34;0,28;-0,43;0,08;0,08;0,32;0,06;-0,2;-0,26;-0,08;NULL;0,23;0,31;-1,5;-1,86;-0,09;0,98;1,82;-0,61;-0,99;1,4
0,39;-0,17;0,35;-0,33;-0,39;-0,43;0,19;0,26;-0,11;0,31;NULL;0,0799999;-1,37;0,44;-1,69;0,57;-1,3;-0,65;1,44;0,82;-1,37
0,16;0,36;0,13;-0,33;-0,27;0,27;-0,31;0,23;0,38;-0,31;NULL;-1,76;-0,55;0,00999999;-1,05;1,45;-1,05;0,91;0,52;-1,38;-1,4
0,43;0,42;-0,42;-0,28;0,19;0,1;0,22;-0,34;0,04;-2,38419E-09;NULL;0,04;-0,53;0,4;-0,65;-2;-0,69;-1,24;0,55;0,86;1,68
-0,11;-0,1;-0,43;-0,33;0,43;0,37;-0,31;-0,22;0,21;0,33;NULL;-1,98;-0,28;0,32;-0,87;-1,61;-0,82;-0,2;-0,22;0,59;-0,12
0,15;-0,23;0,2;-0,11;-0,14;0,4;-0,42;0,4;0,02;0,23;NULL;-1,23;-1,02;-0,68;1,18;-0,53;0,62;-0,95;0,59;1,43;0,92
-0,37;-0,14;-0,38;-0,05;0,09;-0,14;-2,38419E-09;0,2;0,32;0,18;NULL;-0,81;1,88;1,84;1,45;-1,28;-1,37;1,29;-0,2;0,63;-1,31
-0,15;-0,26;-0,41;0,33;-0,3;-0,24;0,22;-0,32;0,23;-0,33;NULL;0,72;1,77;0,13;-1,4;1,77;0,0699999;-0,65;-1,38;-1,43;-1,98
0,17;-0,42;0,32;0,12;0,28;0,28;0,15;-0,22;0,41;0,00999999;NULL;-0,18;-1,28;-1,89;0,89;1,66;1,95;-0,09;-0,87;-0,25;-1,05
0,27;0,25;-0,13;-0,09;-0,32;-0,34;0,23;0,37;-0,11;-2,38419E-09;NULL;1,57;0,65;-1,85;0,51;0,46;-0,05;-0,18;-0,89;0,84;-1,99
0,3;0,03;-0,43;-0,12;-0,36;-0,15;-0,42;0,02;0,28;0,16;NULL;-0,72;0,66;-0,99;-1,3;-1,05;-0,68;-1,16;1,45;-1,94;-0,83
0,37;0,22;-0,23;-0,41;-0,4;0,17;-0,18;0,24;-0,05;-0,03;NULL;-0,24;1,74;0,23;0,2;-1,49;1,97;1,26;0,65;1,17;-0,56
0,16;-0,24;-0,05;0,28;-0,33;0,42;-0,42;-0,07;-0,23;-0,03;NULL;0,36;1,23;-1,7;1,93;-0,51;-1,33;0,0699999;1,54;1,14;1,59
-0,31;0,05;-0,34;-0,22;0,16;0,36;-0,43;-0,26;0,34;0,14;NULL;-1,43;0,51;0,32;-0,08;1,16;0;0,87;-0,68;-1,9;-1,52
-0,19;-0,18;-0,3;-0,42;-0,27;-0,34;-0,08;0,22;-0,43;-0,39;NULL;1,07;-1,07;-1,58;-1,21;0,55;-0,64;-1,46;-1,96;1,01;0,63
0,05;-0,31;0,18;0,2;0,19;-0,16;0,38;0,03;0,43;-0,1;NULL;-1,07;-0,68;-0,09;-0,56;-0,87;-1,46;-0,31;0,03;1,94;0,61
0,37;0,1;-0,36;-0,04;-0,22;0,21;-0,37;0,29;-0,4;0,41;NULL;-0,67;-1,92;-0,71;-1,35;0,86;1,42;1,1;1,01;-0,51;0,53
0,21;-0,22;-0,06;0,33;0,07;-0,16;0,03;0,18;-0,41;-0,03;NULL;0,98;-0,85;-1,53;-0,83;0,46;-1,88;-0,04;-1,55;-1,81;-0,96
0,06;0,07;0,24;0,31;0,15;-0,26;-0,15;0,05;-0,32;-0,4;NULL;0,58;0,78;0,71;0,04;-1,12;1,09;0,7;0,71;-0,92;1,08
0,31;0,28;0,3;-0,27;0,23;-0,29;0,41;-0,18;-0,44;0,15;NULL;-1,77;-0,6;-0,51;1,37;0,27;-0,69;-1,5;1,97;0,57;0,64
0,39;-0,07;-0,09;-0,16;-0,07;0,25;0,42;0,34;-0,43;0,19;NULL;0,89;0,38;-1,95;-0,38;0,8;-1,06;1,24;-0,11;1,2;0,18
0,29;0,06;-0,29;-0,06;-0,15;0,22;-0,32;-0,28;-0,17;0,2;NULL;0,00999999;0,8;-0,51;0,12;-1,48;-1,28;1,28;1,54;-0,82;1,56
-0,19;0,43;-0,22;-0,37;-0,23;0,05;0,24;0,36;0,35;-0,28;NULL;-1,88;1,8;1,9;-0,00999999;-1,4;0,0999999;-1,37;0,89;-1,64;-1,17
-0,02;-0,05;0,41;0,15;0,09;-0,08;0,28;0,38;-0,03;0,3;NULL;1,51;-1,46;-1;0,15;-0,31;-0,43;-0,88;-0,17;-1;0,42
0,42;0,34;-0,3;0,15;-0,3;0,35;0,42;-0,42;-0,36;-2,38419E-09;NULL;-0,54;-0,89;-0,61;0,61;1,1;1,55;-0,45;0,65;-1,39;0,31
-0,12;-0,04;-0,1;-0,13;-0,2;-0,2;-0,00999999;0,02;0,09;-0,18;NULL;-1,44;-0,67;1,79;-1,63;1,75;1,26;1,46;-0,93;-0,35;-1,73
-0,39;-0,41;-0,18;-0,4;0,07;0,00999999;0,02;0,08;-0,05;-0,39;NULL;-1,32;0,82;1,03;1,92;-0,44;1,93;0,16;-1,47;-0,98;-0,4
-0,25;-0,13;-0,22;-0,02;-0,18;0,02;0,14;0,25;-0,14;0,08;NULL;1,11;-0,12;1,15;1,97;-0,5;-0,43;0,94;0,74;-0,2;-0,43
-0,37;0,25;-0,31;0,29;-0,14;0,4;0,38;-0,1;-0,31;-0,35;NULL;-0,79;1,4;-0,69;-0,21;1,93;-1,54;-1,57;0,98;1,01;-1,71
-0,23;0,34;0,17;-0,4;0,29;-0,34;0,15;0,17;0,02;-0,38;NULL;0,78;-1,5;-0,05;1,53;1,05;-1,53;1,16;-0,7;1,21;0,8
0,04;-0,39;0,41;0,02;0,21;-0,25;0,1;-0,42;-0,44;-0,2;NULL;-0,45;1,13;1,48;-1,43;1,77;-1,01;-0,28;-1,98;-1,64;0,25
0,25;-0,22;0,21;-2,38419E-09;0,2;-0,00999999;0,00999999;-0,37;-0,17;0,09;NULL;-0,89;0,46;-1,09;0,02;1,14;0,53;-0,84;-1,45;0,41;1,7
